ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,User-ID,Book-Rating
0399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,11676,9
0399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,36836,0
0399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,46398,9
0399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,113270,0
0399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,113519,0
0399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,200674,0
0399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,211919,0
0399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,230522,7
0399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,238557,10
0399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,245827,9
0440234743,The Testament,John Grisham,1999,Dell,3363,0
0440234743,The Testament,John Grisham,1999,Dell,7346,9
0440234743,The Testament,John Grisham,1999,Dell,11676,9
0440234743,The Testament,John Grisham,1999,Dell,13552,8
0440234743,The Testament,John Grisham,1999,Dell,14521,0
0440234743,The Testament,John Grisham,1999,Dell,16795,0
0440234743,The Testament,John Grisham,1999,Dell,23768,0
0440234743,The Testament,John Grisham,1999,Dell,26544,0
0440234743,The Testament,John Grisham,1999,Dell,26593,0
0440234743,The Testament,John Grisham,1999,Dell,30533,6
0440234743,The Testament,John Grisham,1999,Dell,31315,10
0440234743,The Testament,John Grisham,1999,Dell,31556,0
0440234743,The Testament,John Grisham,1999,Dell,35857,0
0440234743,The Testament,John Grisham,1999,Dell,35859,0
0440234743,The Testament,John Grisham,1999,Dell,36606,0
0440234743,The Testament,John Grisham,1999,Dell,39646,0
0440234743,The Testament,John Grisham,1999,Dell,40889,0
0440234743,The Testament,John Grisham,1999,Dell,46398,0
0440234743,The Testament,John Grisham,1999,Dell,52584,0
0440234743,The Testament,John Grisham,1999,Dell,55492,0
0440234743,The Testament,John Grisham,1999,Dell,69232,0
0440234743,The Testament,John Grisham,1999,Dell,76352,0
0440234743,The Testament,John Grisham,1999,Dell,76942,0
0440234743,The Testament,John Grisham,1999,Dell,78834,0
0440234743,The Testament,John Grisham,1999,Dell,78973,7
0440234743,The Testament,John Grisham,1999,Dell,79186,0
0440234743,The Testament,John Grisham,1999,Dell,82893,0
0440234743,The Testament,John Grisham,1999,Dell,84024,0
0440234743,The Testament,John Grisham,1999,Dell,91832,0
0440234743,The Testament,John Grisham,1999,Dell,93363,0
0440234743,The Testament,John Grisham,1999,Dell,101209,7
0440234743,The Testament,John Grisham,1999,Dell,102647,0
0440234743,The Testament,John Grisham,1999,Dell,102967,0
0440234743,The Testament,John Grisham,1999,Dell,105979,5
0440234743,The Testament,John Grisham,1999,Dell,107784,9
0440234743,The Testament,John Grisham,1999,Dell,110973,0
0440234743,The Testament,John Grisham,1999,Dell,112001,0
0440234743,The Testament,John Grisham,1999,Dell,115003,0
0440234743,The Testament,John Grisham,1999,Dell,115120,0
0440234743,The Testament,John Grisham,1999,Dell,123981,0
0440234743,The Testament,John Grisham,1999,Dell,124487,10
0440234743,The Testament,John Grisham,1999,Dell,125039,0
0440234743,The Testament,John Grisham,1999,Dell,125519,8
0440234743,The Testament,John Grisham,1999,Dell,126492,0
0440234743,The Testament,John Grisham,1999,Dell,127200,0
0440234743,The Testament,John Grisham,1999,Dell,131046,0
